paper_key,title,data_source,public_data,pairwise_or_multi_vintage,spatial_mode,task_family,monitoring_decision_output,sleipner_field_benchmark,main_limitations_for_our_gap
alhashemi_proposed,Temporal support assimilation on an open multi-vintage pseudo-3D Sleipner benchmark,Open Sleipner 4D seismic plus public benchmark constraints,Yes,Multi-vintage sequence,Pseudo-3D 11-inline benchmark,Segmentation plus forecasting plus sequence evaluation,Yes,Yes,Target contribution rather than prior work
jag2026_transformer,Automated multi-class classification of amplitude anomaly due to carbon capture and storage using transformer models for time-lapse seismic data: A case study using Sleipner data,Sleipner field data,Yes,Time-lapse field classification but not explicit sequence assimilation,Section-based field segmentation inferred from abstract,Segmentation,Monitoring interval guidance and leakage risk assessment,Yes,Focuses on multi-class horizon segmentation rather than joint sequence reconstruction or held-out survey prediction
eage2023_joint_inv_seg,Joint Inversion and Segmentation of the 4D Sleipner Seismic Dataset,Open Sleipner 4D seismic dataset,Yes,Pairwise baseline-monitor,Open seismic volumes,Inversion plus segmentation,No explicit survey-value task,Yes,Pairwise inversion with structural priors rather than public multi-vintage sequence benchmarking
tle2023_seeing_through_plume,Seeing through the CO2 plume: Joint inversion-segmentation of the Sleipner 4D seismic data set,Open Sleipner 4D seismic dataset,Yes,Pairwise baseline-monitor,Open seismic volumes,Inversion plus segmentation,No explicit survey-skipping or sequence-level monitoring output,Yes,Targets quantitative inversion and class-constrained differences rather than temporal support assimilation
marpetgeo2024_simulated_annealing,Enhancement of CO2 monitoring in the Sleipner field using seismic inversion based on simulated annealing of time-lapse seismic data,Sleipner field seismic data,Yes,Time-lapse inversion study with pairwise emphasis,Field seismic volumes inferred from abstract,Inversion,Leakage confidence statement and plume interpretation,Yes,Novelty is inversion resolution rather than open multi-vintage pseudo-3D benchmarking or held-out survey evaluation
ccus2025_geostatistical,4D Geostatistical Seismic Inversion for Mapping Probability of Changes in Δ-Properties: A CCS Case Study on Sleipner,Sleipner data plus wells and geological priors,Partly public from abstract,Time-lapse inversion with probabilistic monitor updates,Volume-scale inversion inferred from abstract,Probabilistic inversion,Uncertainty-aware reservoir characterization,Yes,Probabilistic inversion addresses uncertainty but not open sequence forecasting or pseudo-3D benchmark design
eage2020_cross_equalization,Time-Lapse Cross-Equalization by Deep Learning,Synthetic time-lapse seismic,Yes,Pairwise,2D synthetic,Matching or equalization,No,No,Targets repeatability and matching rather than support inference or field monitoring
geophysics2022_rnn_matching,Time-lapse data matching using a recurrent neural network approach,Synthetic prestack 2D data,Yes,Pairwise matching with recurrent model,2D synthetic prestack,Matching or equalization,No,No,Uses recurrence for matching filters rather than sequence-level plume reconstruction or monitoring decisions
ijggc2024_seisco2net,Time-lapse seismic inversion for CO2 saturation with SeisCO2Net: An application to Frio-II site,Frio-II field data and synthetic training,Not Sleipner but field data,Time-lapse inversion with field deployment,Field site inversion,Inversion,Yes,No,Strong field ML paper but on a different site and focused on saturation inversion rather than open Sleipner sequence monitoring
scirep2023_framework,A framework for subsurface monitoring by integrating reservoir simulation with time-lapse seismic surveys,Simulated reservoir and seismic models,Yes,Multi-vintage simulation,Full simulated model,Forecasting plus simulation integration,Yes,No,Sequence-aware and monitoring-facing but simulation-driven rather than open public field benchmarking
